month,pct_large_orders
2018-09,0.141776937618147
2018-10,0.140191169776969
2018-11,0.133797653958944
2018-12,0.150029708853238
2019-01,0.13728813559322
2019-02,0.132713658662536
2019-03,0.128269174258008
2019-04,0.114103643140555
2019-05,0.115966927950177
2019-06,0.128262574213062
2019-07,0.119179247288965
2019-08,0.120249406175772
2019-09,0.120845921450151
2019-10,0.113642401700319
2019-11,0.116544913419913
2019-12,0.122830023729237
2020-01,0.112474920335182
2020-02,0.113784559207094
2020-03,0.116687578419072
2020-04,0.112296871210284
2020-05,0.119861679329827
2020-06,0.113001636985962
2020-07,0.1115126484254
2020-08,0.128119278053884
